Numero de documentos (tweets) del corpus :15398
Número de palabras del corpus:378146
Palabra:fifth Frec:5 LogProb:-11.166625090030037
Palabra:first Frec:266 LogProb:-7.371135900857841
Palabra:five Frec:29 LogProb:-9.557187177595935
Palabra:followed Frec:12 LogProb:-10.393435201796555
Palabra:following Frec:91 LogProb:-8.43659598220905
Palabra:follows Frec:9 LogProb:-10.655799466264046
Palabra:for Frec:5212 LogProb:-4.3994737744899854
Palabra:former Frec:17 LogProb:-10.068012801361927
Palabra:four Frec:65 LogProb:-8.768729817231666
Palabra:from Frec:2033 LogProb:-5.340624982649586
Palabra:further Frec:99 LogProb:-8.35321437327
Palabra:get Frec:1109 LogProb:-5.946269264951711
Palabra:gets Frec:84 LogProb:-8.515733302767774
Palabra:getting Frec:305 LogProb:-7.23479945730571
Palabra:given Frec:99 LogProb:-8.35321437327
Palabra:gives Frec:39 LogProb:-9.269505105144155
Palabra:goes Frec:78 LogProb:-8.58893670679107
Palabra:going Frec:862 LogProb:-6.197969868174663
Palabra:gone Frec:112 LogProb:-8.23099674054575
Palabra:got Frec:284 LogProb:-7.30589537898944
Palabra:gotten Frec:13 LogProb:-10.319327229642832
Palabra:had Frec:489 LogProb:-6.763979168153419
Palabra:happens Frec:53 LogProb:-8.969400512693817
Palabra:hardly Frec:9 LogProb:-10.655799466264046
Palabra:has Frec:1673 LogProb:-5.53541330820867
Palabra:hasn't Frec:22 LogProb:-9.822890343328941
Palabra:have Frec:2531 LogProb:-5.1216197759940245
Palabra:haven't Frec:40 LogProb:-9.244812492553784
Palabra:having Frec:196 LogProb:-7.675180830520103
Palabra:he's Frec:18 LogProb:-10.01394558009165
Palabra:hello Frec:13 LogProb:-10.319327229642832
Palabra:help Frec:341 LogProb:-7.123573822195486
Palabra:hence Frec:6 LogProb:-11.012474410202778
Palabra:her Frec:257 LogProb:-7.405424974336474
Palabra:here Frec:504 LogProb:-6.733826129982731
Palabra:here's Frec:49 LogProb:-9.046361553829945
Palabra:herself Frec:5 LogProb:-11.166625090030037
Palabra:him Frec:100 LogProb:-8.34326404241683
Palabra:himself Frec:8 LogProb:-10.761159981921871
Palabra:his Frec:246 LogProb:-7.448996222630114
Palabra:hopefully Frec:9 LogProb:-10.655799466264046
Palabra:how Frec:1168 LogProb:-5.894480597786023
Palabra:however Frec:65 LogProb:-8.768729817231666
Palabra:i'd Frec:27 LogProb:-9.626180049082887
Palabra:i'll Frec:32 LogProb:-9.461876997791611
Palabra:i'm Frec:287 LogProb:-7.295424079122145
Palabra:i've Frec:90 LogProb:-8.447525052741241
Palabra:ignored Frec:15 LogProb:-10.18579583701831
Palabra:immediate Frec:23 LogProb:-9.780330728910146
Palabra:inc Frec:6 LogProb:-11.012474410202778
Palabra:indeed Frec:6 LogProb:-11.012474410202778
Palabra:indicates Frec:5 LogProb:-11.166625090030037
Palabra:inner Frec:6 LogProb:-11.012474410202778
Palabra:instead Frec:107 LogProb:-8.276253332133871
Palabra:into Frec:431 LogProb:-6.88995897101398
Palabra:isn't Frec:52 LogProb:-8.988092645705969
Palabra:it'll Frec:11 LogProb:-10.473477909470091
Palabra:it's Frec:408 LogProb:-6.944669403215289
Palabra:its Frec:452 LogProb:-6.842492433775057
Palabra:itself Frec:26 LogProb:-9.662547693253762
Palabra:just Frec:1080 LogProb:-5.972742741618883
Palabra:keep Frec:409 LogProb:-6.942227399559737
Palabra:keeps Frec:30 LogProb:-9.524397354772944
Palabra:kept Frec:21 LogProb:-9.867342105899775
Palabra:know Frec:440 LogProb:-6.869339683811245
Palabra:known Frec:19 LogProb:-9.9626522857041
Palabra:knows Frec:29 LogProb:-9.557187177595935
Palabra:last Frec:345 LogProb:-7.111945784200366
Palabra:lately Frec:19 LogProb:-9.9626522857041
Palabra:later Frec:53 LogProb:-8.969400512693817
Palabra:latter Frec:8 LogProb:-10.761159981921871
Palabra:least Frec:139 LogProb:-8.016742136648787
Palabra:less Frec:151 LogProb:-7.934504038411815
Palabra:let Frec:159 LogProb:-7.8832107440242645
Palabra:let's Frec:46 LogProb:-9.108236957548034
Palabra:like Frec:609 LogProb:-6.544925602090734
Palabra:likely Frec:146 LogProb:-7.967951972479355
Palabra:little Frec:129 LogProb:-8.09085010880251
Palabra:look Frec:215 LogProb:-7.583106151573926
Palabra:looking Frec:126 LogProb:-8.1141974727995
Palabra:looks Frec:50 LogProb:-9.026558926533765
Palabra:mainly Frec:9 LogProb:-10.655799466264046
Palabra:many Frec:554 LogProb:-6.639416445511657
Palabra:may Frec:385 LogProb:-7.00254718979326
Palabra:maybe Frec:99 LogProb:-8.35321437327
Palabra:mean Frec:83 LogProb:-8.527567760414778
Palabra:meanwhile Frec:31 LogProb:-9.492648656458364
Palabra:might Frec:156 LogProb:-7.902138753909783
Palabra:more Frec:1478 LogProb:-5.659263096547291
Palabra:most Frec:376 LogProb:-7.02613937181008
Palabra:mostly Frec:40 LogProb:-9.244812492553784
Palabra:much Frec:311 LogProb:-7.215381371448609
Palabra:must Frec:231 LogProb:-7.511647187591781
Palabra:myself Frec:58 LogProb:-8.88084711535237
Palabra:name Frec:37 LogProb:-9.320798399531705
Palabra:near Frec:77 LogProb:-8.601675732568498
Palabra:nearly Frec:52 LogProb:-8.988092645705969
Palabra:necessary Frec:57 LogProb:-8.897941548711671
Palabra:need Frec:1051 LogProb:-5.9999361659604356
Palabra:needs Frec:169 LogProb:-7.822586122207829
Palabra:neither Frec:14 LogProb:-10.25033435815588
Palabra:never Frec:197 LogProb:-7.670117528563556
