Numero de documentos (tweets) del corpus :18046
Número de palabras del corpus:448794
Palabra:everywhere Frec:53 LogProb:-9.123385559043342
Palabra:exactly Frec:22 LogProb:-9.976875389678467
Palabra:example Frec:60 LogProb:-9.001495741434304
Palabra:except Frec:41 LogProb:-9.374699987324249
Palabra:far Frec:126 LogProb:-8.268182519149025
Palabra:few Frec:246 LogProb:-7.602981268979639
Palabra:first Frec:435 LogProb:-7.034727362258582
Palabra:five Frec:35 LogProb:-9.528850667151506
Palabra:followed Frec:12 LogProb:-10.54742024814608
Palabra:following Frec:116 LogProb:-8.35019567080986
Palabra:follows Frec:7 LogProb:-11.03292806392778
Palabra:for Frec:7052 LogProb:-4.2511612683994375
Palabra:former Frec:14 LogProb:-10.404319404505406
Palabra:four Frec:45 LogProb:-9.283728209118522
Palabra:from Frec:2440 LogProb:-5.312206535214656
Palabra:further Frec:82 LogProb:-8.693528997811018
Palabra:get Frec:1363 LogProb:-5.894192767204209
Palabra:gets Frec:55 LogProb:-9.087017914872467
Palabra:getting Frec:299 LogProb:-7.408587130951416
Palabra:given Frec:116 LogProb:-8.35019567080986
Palabra:gives Frec:31 LogProb:-9.64663370280789
Palabra:goes Frec:87 LogProb:-8.63503279112941
Palabra:going Frec:838 LogProb:-6.380158899140411
Palabra:gone Frec:100 LogProb:-8.497249088766356
Palabra:got Frec:321 LogProb:-7.337818060063208
Palabra:gotten Frec:17 LogProb:-10.221997847711453
Palabra:had Frec:440 LogProb:-7.023324730160771
Palabra:hadn't Frec:5 LogProb:-11.320610136379562
Palabra:happens Frec:40 LogProb:-9.39879753890331
Palabra:hardly Frec:12 LogProb:-10.54742024814608
Palabra:has Frec:1614 LogProb:-5.72527936995086
Palabra:hasn't Frec:9 LogProb:-10.809784512613572
Palabra:have Frec:2839 LogProb:-5.1608102744523645
Palabra:haven't Frec:33 LogProb:-9.586009080991456
Palabra:having Frec:201 LogProb:-7.804101908206412
Palabra:he's Frec:24 LogProb:-9.893493780739416
Palabra:hello Frec:51 LogProb:-9.16112588702619
Palabra:help Frec:1682 LogProb:-5.684036411416811
Palabra:hence Frec:8 LogProb:-10.915145028271397
Palabra:her Frec:274 LogProb:-7.495598507941045
Palabra:here Frec:828 LogProb:-6.3921494504723215
Palabra:here's Frec:101 LogProb:-8.487396792323345
Palabra:herself Frec:7 LogProb:-11.03292806392778
Palabra:him Frec:99 LogProb:-8.507199419619525
Palabra:himself Frec:8 LogProb:-10.915145028271397
Palabra:his Frec:301 LogProb:-7.401942588232747
Palabra:hopefully Frec:47 LogProb:-9.241168594699726
Palabra:how Frec:1506 LogProb:-5.794493406981121
Palabra:however Frec:72 LogProb:-8.821910164459226
Palabra:i'd Frec:51 LogProb:-9.16112588702619
Palabra:i'll Frec:43 LogProb:-9.328179971689355
Palabra:i'm Frec:301 LogProb:-7.401942588232747
Palabra:i've Frec:131 LogProb:-8.229567683021246
Palabra:ignored Frec:5 LogProb:-11.320610136379562
Palabra:immediate Frec:37 LogProb:-9.474783445881231
Palabra:inc Frec:23 LogProb:-9.934315775259671
Palabra:indeed Frec:17 LogProb:-10.221997847711453
Palabra:inner Frec:6 LogProb:-11.166459456552303
Palabra:instead Frec:143 LogProb:-8.142556306031615
Palabra:into Frec:496 LogProb:-6.903779579510988
Palabra:isn't Frec:69 LogProb:-8.863874363558256
Palabra:it'll Frec:10 LogProb:-10.714474332809246
Palabra:it's Frec:430 LogProb:-7.046261515503869
Palabra:its Frec:511 LogProb:-6.874044980568109
Palabra:itself Frec:19 LogProb:-10.116637332053626
Palabra:just Frec:1135 LogProb:-6.07710100632652
Palabra:keep Frec:821 LogProb:-6.400629210551437
Palabra:keeps Frec:23 LogProb:-9.934315775259671
Palabra:kept Frec:36 LogProb:-9.501451692963393
Palabra:know Frec:610 LogProb:-6.697272646436021
Palabra:known Frec:17 LogProb:-10.221997847711453
Palabra:knows Frec:30 LogProb:-9.67838240112247
Palabra:last Frec:331 LogProb:-7.3072346366911285
Palabra:lately Frec:18 LogProb:-10.167930626441176
Palabra:later Frec:63 LogProb:-8.953486522247946
Palabra:latter Frec:5 LogProb:-11.320610136379562
Palabra:least Frec:160 LogProb:-8.030965240623154
Palabra:less Frec:172 LogProb:-7.959078011109837
Palabra:let Frec:232 LogProb:-7.6613311520419165
Palabra:let's Frec:91 LogProb:-8.590581028558576
Palabra:like Frec:1682 LogProb:-5.684036411416811
Palabra:likely Frec:103 LogProb:-8.467978706466244
Palabra:little Frec:172 LogProb:-7.959078011109837
Palabra:look Frec:296 LogProb:-7.418637466804917
Palabra:looking Frec:228 LogProb:-7.678647602053377
Palabra:looks Frec:100 LogProb:-8.497249088766356
Palabra:ltd Frec:5 LogProb:-11.320610136379562
Palabra:mainly Frec:15 LogProb:-10.339780883367835
Palabra:many Frec:660 LogProb:-6.618615765755931
Palabra:may Frec:360 LogProb:-7.223491647274736
Palabra:maybe Frec:92 LogProb:-8.57977011245436
Palabra:mean Frec:91 LogProb:-8.590581028558576
Palabra:meanwhile Frec:36 LogProb:-9.501451692963393
Palabra:might Frec:165 LogProb:-8.000381817251073
Palabra:more Frec:1718 LogProb:-5.662871600224768
Palabra:most Frec:426 LogProb:-7.055585592378992
Palabra:mostly Frec:28 LogProb:-9.745073775621142
Palabra:much Frec:415 LogProb:-7.081684345346353
Palabra:must Frec:234 LogProb:-7.652784091463458
Palabra:myself Frec:66 LogProb:-8.90767698621665
Palabra:name Frec:40 LogProb:-9.39879753890331
Palabra:near Frec:64 LogProb:-8.937982335711979
Palabra:nearly Frec:40 LogProb:-9.39879753890331
Palabra:necessary Frec:88 LogProb:-8.623733235875477
Palabra:need Frec:1304 LogProb:-5.9384112858508225
Palabra:needs Frec:276 LogProb:-7.488352099420278
Palabra:neither Frec:6 LogProb:-11.166459456552303
Palabra:never Frec:233 LogProb:-7.657048490249915
Palabra:new Frec:754 LogProb:-6.485651856358592
Palabra:next Frec:286 LogProb:-7.452887389847995
Palabra:nine Frec:5 LogProb:-11.320610136379562
Palabra:nobody Frec:39 LogProb:-9.42349015149368
Palabra:non Frec:61 LogProb:-8.985235220562526
Palabra:none Frec:28 LogProb:-9.745073775621142
Palabra:nor Frec:19 LogProb:-10.116637332053626
Palabra:normally Frec:34 LogProb:-9.557021544118204
Palabra:not Frec:2001 LogProb:-5.510467645732451
Palabra:nothing Frec:143 LogProb:-8.142556306031615
Palabra:novel Frec:79 LogProb:-8.730342970933735
Palabra:now Frec:1420 LogProb:-5.853253477510516
Palabra:nowhere Frec:8 LogProb:-10.915145028271397
Palabra:obviously Frec:13 LogProb:-10.473312275992358
Palabra:off Frec:381 LogProb:-7.166948997001041
Palabra:often Frec:64 LogProb:-8.937982335711979
Palabra:okay Frec:41 LogProb:-9.374699987324249
Palabra:old Frec:120 LogProb:-8.316579060010875
Palabra:once Frec:114 LogProb:-8.367437477244366
Palabra:one Frec:869 LogProb:-6.343876393958987
Palabra:ones Frec:102 LogProb:-8.47764061737798
Palabra:only Frec:639 LogProb:-6.650901429253899
Palabra:onto Frec:19 LogProb:-10.116637332053626
Palabra:other Frec:729 LogProb:-6.51932507146518
Palabra:others Frec:325 LogProb:-7.325472224240909
Palabra:otherwise Frec:28 LogProb:-9.745073775621142
Palabra:our Frec:2501 LogProb:-5.287523914580761
Palabra:ours Frec:8 LogProb:-10.915145028271397
Palabra:ourselves Frec:22 LogProb:-9.976875389678467
Palabra:out Frec:1803 LogProb:-5.614607904985048
Palabra:outside Frec:158 LogProb:-8.043465403387385
Palabra:over Frec:557 LogProb:-6.788010643226306
Palabra:overall Frec:21 LogProb:-10.0213271522493
Palabra:own Frec:203 LogProb:-7.794249611763401
Palabra:particular Frec:21 LogProb:-10.0213271522493
Palabra:particularly Frec:30 LogProb:-9.67838240112247
Palabra:per Frec:192 LogProb:-7.849679416702731
Palabra:perhaps Frec:42 LogProb:-9.351169489914055
Palabra:placed Frec:27 LogProb:-9.780165095432412
Palabra:please Frec:1190 LogProb:-6.029821036252317
Palabra:plus Frec:70 LogProb:-8.8496897285663
Palabra:possible Frec:162 LogProb:-8.018619404800855
Palabra:probably Frec:68 LogProb:-8.878263101010358
Palabra:provides Frec:35 LogProb:-9.528850667151506
