Numero de documentos (tweets) del corpus :18046
Número de palabras del corpus:223478
Palabra:announces Frec:22 LogProb:-9.258339332957755
Palabra:announcing Frec:16 LogProb:-9.560620204830688
Palabra:annoyed Frec:1 LogProb:-11.70068636832696
Palabra:annoying Frec:3 LogProb:-11.007539187767014
Palabra:annual Frec:15 LogProb:-9.621244826647123
Palabra:anonymous Frec:4 LogProb:-10.784395636452805
Palabra:answer Frec:55 LogProb:-8.368481858151755
Palabra:answered Frec:16 LogProb:-9.560620204830688
Palabra:answering Frec:6 LogProb:-10.447923399831591
Palabra:answers Frec:30 LogProb:-8.959846344401758
Palabra:anti Frec:18 LogProb:-9.449394569720464
Palabra:antibacterial Frec:22 LogProb:-9.258339332957755
Palabra:antibiotics Frec:4 LogProb:-10.784395636452805
Palabra:antibodies Frec:4 LogProb:-10.784395636452805
Palabra:anticipate Frec:11 LogProb:-9.908926899098905
Palabra:anticipated Frec:7 LogProb:-10.314392007207069
Palabra:anticipation Frec:6 LogProb:-10.447923399831591
Palabra:antiviral Frec:5 LogProb:-10.60207407965885
Palabra:anxieties Frec:1 LogProb:-11.70068636832696
Palabra:anxiety Frec:35 LogProb:-8.810314610430794
Palabra:anxious Frec:17 LogProb:-9.503461790990741
Palabra:anymore Frec:20 LogProb:-9.349311111163482
Palabra:anytime Frec:7 LogProb:-10.314392007207069
Palabra:apartment Frec:9 LogProb:-10.09124845589286
Palabra:apartments Frec:3 LogProb:-11.007539187767014
Palabra:apocalypse Frec:17 LogProb:-9.503461790990741
Palabra:apologize Frec:7 LogProb:-10.314392007207069
Palabra:app Frec:80 LogProb:-7.999384394214466
Palabra:appalling Frec:1 LogProb:-11.70068636832696
Palabra:apparel Frec:5 LogProb:-10.60207407965885
Palabra:apparent Frec:6 LogProb:-10.447923399831591
Palabra:apparently Frec:44 LogProb:-8.587171059116585
Palabra:appeal Frec:19 LogProb:-9.398101275332914
Palabra:appealing Frec:9 LogProb:-10.09124845589286
Palabra:appeals Frec:2 LogProb:-11.295221260218796
Palabra:appearance Frec:4 LogProb:-10.784395636452805
Palabra:appeared Frec:5 LogProb:-10.60207407965885
Palabra:appearing Frec:6 LogProb:-10.447923399831591
Palabra:appears Frec:13 LogProb:-9.754776219271646
Palabra:appetite Frec:2 LogProb:-11.295221260218796
Palabra:applaud Frec:14 LogProb:-9.685783347784694
Palabra:applauded Frec:5 LogProb:-10.60207407965885
Palabra:applauds Frec:5 LogProb:-10.60207407965885
Palabra:applause Frec:6 LogProb:-10.447923399831591
Palabra:apple Frec:24 LogProb:-9.174957724018704
Palabra:apples Frec:2 LogProb:-11.295221260218796
Palabra:appliances Frec:10 LogProb:-9.995938276088534
Palabra:applicable Frec:4 LogProb:-10.784395636452805
Palabra:application Frec:9 LogProb:-10.09124845589286
Palabra:applications Frec:11 LogProb:-9.908926899098905
Palabra:applied Frec:12 LogProb:-9.828884191425368
Palabra:applies Frec:10 LogProb:-9.995938276088534
Palabra:apply Frec:47 LogProb:-8.522632537979014
Palabra:applying Frec:7 LogProb:-10.314392007207069
Palabra:appointment Frec:11 LogProb:-9.908926899098905
